year,home_team,away_team,match_result,draws_last_4y_difference,fifa_points_pre_tournament_difference,fifa_rank_pre_tournament_difference,finalist_difference,finals_before_difference,goals_received_last_4y_difference,goals_scored_last_4y_difference,groups_passed_before_difference,is_host_difference,losses_last_4y_difference,quarter_finalist_difference,quarterfinals_before_difference,round16_before_difference,semi_finalist_difference,semifinals_before_difference,squad_avg_age_difference,squad_total_market_value_eur_difference,winner_difference,wins_last_4y_difference,world_cup_participations_before_difference,world_cup_titles_before_difference,fifa_points_pre_tournament_ratio,goals_scored_last_4y_ratio,goals_received_last_4y_ratio,wins_last_4y_ratio,squad_avg_age_ratio,host_difference
2022,Belgium,Morocco,Away Win,-5,253.21000000000004,-20,0,0,15,40,8,0,2,-1,3,7,-1,2,1.6000000000000014,322100000.0,0,3,8,0,1.161950751519028,1.449438202247191,1.5,1.09375,1.0610687022900764,0
2022,Croatia,Canada,Home Win,6,170.6400000000001,-29,0,1,30,-44,2,0,4,1,2,2,1,2,0.5,189700000.0,0,-7,4,0,1.1156881355932204,0.6507936507936508,1.8823529411764706,0.7741935483870968,1.0185873605947955,0
2022,Spain,Germany,Draw,-1,65.00999999999999,-4,0,-7,-19,-5,-8,0,-2,0,-11,-2,0,-12,-1.3999999999999986,-8500000.0,0,5,-4,-3,1.039394986092679,0.9583333333333334,0.6666666666666666,1.1923076923076923,0.9475655430711611,0
2022,Tunisia,Australia,Away Win,4,18.819999999999936,-8,0,0,20,15,-1,0,8,0,0,-1,0,0,0.3000000000000007,24000000.0,0,12,0,0,1.0126417324950292,1.2173913043478262,2.0526315789473686,1.5714285714285714,1.010909090909091,0
2022,Poland,Saudi Arabia,Home Win,-5,110.80999999999995,-25,0,0,9,15,4,0,-1,0,2,1,0,2,-0.3000000000000007,230400000.0,0,-2,3,0,1.077070205455633,1.2205882352941178,1.2045454545454546,0.9166666666666666,0.9890109890109889,0
2022,France,Denmark,Home Win,3,93.21000000000004,-6,1,3,1,-7,5,0,-4,1,7,3,1,6,-0.6999999999999993,677000000.0,0,0,10,2,1.055929243896146,0.9351851851851852,1.0256410256410255,1.0,0.9742647058823529,0
2022,Argentina,Mexico,Home Win,0,128.99,-10,1,5,-37,-17,5,0,-12,1,7,1,1,5,-0.6999999999999993,469100000.0,1,-6,1,2,1.0784186176583237,0.8521739130434782,0.421875,0.8461538461538461,0.9754385964912281,0
2022,Wales,IR Iran,Away Win,6,5.210000000000036,-1,0,0,29,-32,1,0,10,0,1,0,0,0,-2.5,100620000.0,0,-7,-4,0,1.0033299032985856,0.627906976744186,2.3181818181818183,0.75,0.9134948096885813,0
2022,Qatar,Senegal,Away Win,-2,-144.69999999999982,32,0,0,37,31,-1,1,12,0,-1,-1,0,0,0.8999999999999986,-213100000.0,0,5,-2,0,0.9086830031743228,1.3780487804878048,2.121212121212121,1.1515151515151516,1.0344827586206895,1
2022,Netherlands,Ecuador,Draw,-6,230.1199999999999,-36,0,3,-12,47,7,0,-8,1,5,5,0,5,1.0,440750000.0,0,12,7,0,1.1571439302371636,1.734375,0.7857142857142857,1.6666666666666667,1.0390625,0
2022,England,USA,Draw,-1,100.99000000000001,-11,0,1,-13,3,7,0,-6,1,7,3,0,2,1.1999999999999993,982600000.0,0,-4,5,1,1.0620529898984934,1.0252100840336134,0.723404255319149,0.8918918918918919,1.0476190476190477,0
2022,Switzerland,Cameroon,Home Win,-3,164.48000000000002,-28,0,0,27,38,6,0,7,0,2,5,0,0,0.6999999999999993,126000000.0,0,3,4,0,1.1117816560648073,1.7307692307692308,1.9,1.1578947368421053,1.026615969581749,0
